,last_weight,average_weight,last_weight^2,last_weight fasting,last_weight morning_temperature,last_weight evening_temperature,last_weight morning_do,last_weight evening_do,last_weight morning_salinity,last_weight morning_pH,last_weight transparency,last_weight long_cycle,average_weight fasting,average_weight morning_temperature,average_weight evening_temperature,average_weight morning_do,average_weight evening_do,average_weight morning_salinity,average_weight morning_pH,average_weight transparency,average_weight long_cycle,average_adg
77,18.98,13.074,360.2404,18.98,531.44,569.4,94.3306,107.04719999999999,436.54,149.942,721.24,1556.3600000000001,13.074,366.072,392.21999999999997,64.97778,73.73736,300.702,103.2846,496.812,1072.068,0.315
78,25.42,15.38,646.1764000000001,25.42,711.76,762.6,126.3374,143.3688,584.6600000000001,200.818,965.96,2135.28,15.38,430.64000000000004,461.40000000000003,76.4386,86.7432,353.74,121.50200000000001,584.44,1291.92,0.467
79,26.6,16.426,707.5600000000001,26.6,744.8000000000001,798.0,132.202,150.024,611.8000000000001,210.14000000000001,1010.8000000000001,2181.2000000000003,16.426,459.92799999999994,492.78,81.63721999999999,92.64263999999999,377.79799999999994,129.7654,624.188,1346.9319999999998,0.479
80,23.38,14.434,546.6243999999999,23.38,654.64,701.4,116.19859999999998,131.86319999999998,537.74,184.702,888.4399999999999,1870.3999999999999,14.434,404.152,433.02,71.73697999999999,81.40776,331.98199999999997,114.0286,548.492,1154.72,0.414
81,27.05,15.159,731.7025,27.05,757.4,811.5,134.4385,152.56199999999998,622.15,213.69500000000002,1027.9,2245.15,15.159,424.452,454.77000000000004,75.34023,85.49676,348.65700000000004,119.75610000000002,576.042,1258.1970000000001,0.513
82,25.05,15.952,627.5025,25.05,701.4,751.5,124.49849999999999,141.28199999999998,576.15,197.895,951.9,2029.05,15.952,446.656,478.56,79.28143999999999,89.96928,366.896,126.02080000000001,606.176,1292.112,0.474
83,3.6,3.6,12.96,3.6,100.8,108.0,17.892,20.304,82.8,28.44,136.8,252.0,3.6,100.8,108.0,17.892,20.304,82.8,28.44,136.8,252.0,0.15
84,10.39,8.656,107.95210000000002,10.39,290.92,311.70000000000005,51.6383,58.5996,238.97000000000003,82.081,394.82000000000005,1122.1200000000001,8.656,242.36800000000002,259.68,43.02032,48.81984,199.08800000000002,68.3824,328.928,934.8480000000001,0.122
85,7.93,7.61,62.884899999999995,7.93,222.04,237.89999999999998,39.412099999999995,44.725199999999994,182.39,62.647,301.34,864.37,7.61,213.08,228.3,37.8217,42.9204,175.03,60.11900000000001,289.18,829.49,0.101
86,13.51,13.028,182.52009999999999,13.51,378.28,405.3,67.1447,76.1964,310.73,106.729,513.38,1526.6299999999999,13.028,364.784,390.84000000000003,64.74916,73.47792,299.644,102.92120000000001,495.064,1472.164,0.106
87,7.0,6.1,49.0,7.0,196.0,210.0,34.79,39.48,161.0,55.300000000000004,266.0,301.0,6.1,170.79999999999998,183.0,30.316999999999997,34.403999999999996,140.29999999999998,48.19,231.79999999999998,262.3,0.396
88,5.4,4.95,29.160000000000004,5.4,151.20000000000002,162.0,26.838,30.456,124.2,42.660000000000004,205.20000000000002,232.20000000000002,4.95,138.6,148.5,24.601499999999998,27.918,113.85000000000001,39.105000000000004,188.1,212.85,0.282
89,6.67,6.285,44.4889,6.67,186.76,200.1,33.149899999999995,37.6188,153.41,52.693000000000005,253.46,326.83,6.285,175.98000000000002,188.55,31.236449999999998,35.4474,144.555,49.651500000000006,238.83,307.96500000000003,0.207
90,6.25,5.125,39.0625,6.25,175.0,187.5,31.0625,35.24999999999999,143.75,49.375,237.5,356.25,5.125,143.5,153.75,25.471249999999998,28.904999999999994,117.875,40.487500000000004,194.75,292.125,0.238
91,4.54,4.54,20.6116,4.54,127.12,136.2,22.5638,25.605599999999995,104.42,35.866,172.52,258.78000000000003,4.54,127.12,136.2,22.5638,25.605599999999995,104.42,35.866,172.52,258.78000000000003,0.12
92,47.54,20.995,2260.0516,47.54,1331.12,1426.2,236.2738,268.12559999999996,1093.42,375.56600000000003,1806.52,6512.98,20.995,587.86,629.85,104.34515,118.4118,482.88500000000005,165.86050000000003,797.8100000000001,2876.315,0.407
93,18.54,11.145,343.73159999999996,0.0,520.9243392857143,542.6922857142856,92.14379999999998,99.64753392857142,475.4185714285714,146.53718035714286,708.7411607142857,2113.56,0.0,313.1446473214286,326.23007142857136,55.390649999999994,59.90138973214285,285.78964285714284,88.08828883928571,426.0474776785714,1270.53,
94,20.83,11.518,433.8888999999999,20.83,584.8766428571428,608.421982142857,103.52509999999998,112.46712142857143,550.5071428571428,164.50864464285712,832.9210267857143,2353.79,11.518,323.40898571428573,336.42843928571426,57.244460000000004,62.188972857142865,304.4042857142857,90.96546178571428,460.56574107142865,1301.534,
95,18.6,10.778,345.96000000000004,18.6,521.7466071428571,538.4484107142858,100.95482142857144,98.44880357142857,492.90000000000003,146.82541071428574,734.2017857142857,2101.8,10.778,302.3325232142857,312.0105898214286,58.499519642857145,57.04737660714285,285.617,85.07979982142858,425.44230357142857,1217.914,0.216
96,20.16,10.68,406.42560000000003,20.16,565.0067027027028,587.9854702702702,109.61954594594593,108.0467027027027,524.16,157.70205405405406,849.6259459459459,2257.92,10.68,299.31902702702706,311.49230270270266,58.072259459459445,57.23902702702702,277.68,83.54454054054054,450.0994594594594,1196.1599999999999,0.221
97,20.71,11.081,428.9041,20.71,579.88,603.8438954954956,102.92869999999999,113.1530963963964,550.4009009009009,162.6723855855856,830.8254954954956,2340.23,11.081,310.268,323.09001477477483,55.07256999999999,60.543189819819816,294.495045045045,87.03875927927928,444.5377747747748,1252.153,0.196
98,23.56,13.216,555.0735999999999,23.56,659.68,688.7597714285713,117.09319999999998,126.5824107142857,575.5371428571428,186.29018214285713,859.6244642857143,2662.2799999999997,13.216,370.048,386.36031999999994,65.68351999999999,71.00649999999999,322.84799999999996,104.49962,482.207,1493.408,0.223
99,21.36,12.037,456.2496,21.36,598.0799999999999,623.77875,116.34334285714286,114.80618571428572,543.5357142857143,168.60611357142858,807.8657142857143,2435.04,12.037,337.036,351.51801562500003,65.56295964285715,64.6967255357143,306.29866071428575,95.01459686607144,455.25653571428575,1372.218,0.223
100,18.34,10.283,336.3556,18.34,514.5352499999999,535.8686,91.1498,98.4088375,523.6725,144.32925,687.0950000000001,2090.7599999999998,10.283,288.49323749999996,300.45457,51.10650999999999,55.176558125,293.61637499999995,80.9235375,385.24525000000006,1172.262,0.26
101,19.41,10.462,376.7481,19.41,542.0461081081081,564.1210486486486,96.4677,105.75827027027026,503.61081081081085,153.2882891891892,793.9739189189189,2173.92,10.462,292.1631315315315,304.0615358558558,51.99614,57.003762162162154,271.4464864864865,82.62246684684685,427.9523513513513,1171.744,0.233
102,20.84,11.14,434.30559999999997,20.84,583.933045045045,625.2,113.77513513513514,117.5376,559.1127927927928,163.9957801801802,844.02,2354.92,11.14,312.1407927927928,334.20000000000005,60.818378378378384,62.8296,298.87315315315317,87.66377117117118,451.17,1258.8200000000002,0.209
